key,name,provider,provider_slug,category,category_label,benefit_type,application_status,application_status_source_url,application_status_checked_at,value_text,value_usd,eligibility,stages,max_funding_raised_usd,max_company_age_years,geographies,recurring_or_expiry,other_requirements,confidence,last_verified,source_url,apply_url,url
bordio-bordio-free-plan,Bordio Free plan,Bordio,bordio,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free forever plan (personal use),,No funding needed,any,,,,"Free plan, ongoing while eligible",,high,,https://bordio.com/pricing/,https://bordio.com/pricing/,https://startupperks.co/programs/bordio-bordio-free-plan
formaloo-formaloo-free-plan,Formaloo Free plan,Formaloo,formaloo,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free forever plan,,No funding needed,any,,,,"Free plan, ongoing while eligible",,high,,https://www.formaloo.com/pricing,https://www.formaloo.com/pricing,https://startupperks.co/programs/formaloo-formaloo-free-plan
formspree-formspree-free-plan,Formspree Free plan,Formspree,formspree,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free plan,,No funding needed,any,,,,"Free plan, ongoing while eligible",,high,,https://formspree.io/,https://formspree.io/,https://startupperks.co/programs/formspree-formspree-free-plan
basin-basin-free-plan,Basin Free plan,Basin,basin,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free plan,,No funding needed,any,,,,"Free plan, ongoing while eligible",,medium,,https://usebasin.com/pricing,https://usebasin.com/pricing,https://startupperks.co/programs/basin-basin-free-plan
formcarry-formcarry-free-plan,Formcarry Free plan,Formcarry,formcarry,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free plan,,No funding needed,any,,,,"Free plan, ongoing while eligible",,medium,,https://formcarry.com/,https://formcarry.com/,https://startupperks.co/programs/formcarry-formcarry-free-plan
pulley-pulley-seed,Pulley Seed,Pulley,pulley,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free cap table for early-stage startups,,No funding needed,idea; pre-seed; seed,,,,While eligible,,high,,https://pulley.com/solutions/role/founder,https://pulley.com/,https://startupperks.co/programs/pulley-pulley-seed
trustcloud-trustcloud-free-soc-2-grc-for-startups,TrustCloud Free SOC 2 & GRC for Startups,TrustCloud,trustcloud,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,Free SOC 2 & GRC for startups under 20 employees,,No funding needed,pre-seed; seed; series-a,,,,While under 20 employees,,high,,https://info.trustcloud.ai/soc2-for-startups,https://www.trustcloud.ai/,https://startupperks.co/programs/trustcloud-trustcloud-free-soc-2-grc-for-startups
zenbusiness-zenbusiness-starter-0-llc-formation,ZenBusiness Starter ($0 LLC Formation),ZenBusiness,zenbusiness,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0 LLC formation (plus state fees),,No funding needed,idea; pre-seed,,,United States,One-time (plus state fees),,high,,https://www.zenbusiness.com/pricing/,https://www.zenbusiness.com/,https://startupperks.co/programs/zenbusiness-zenbusiness-starter-0-llc-formation
bizee-bizee-basic-0-formation,Bizee Basic ($0 Formation),Bizee,bizee,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0 LLC/Corp formation (plus state fee),,No funding needed,idea; pre-seed,,,United States,One-time (plus state fees),,high,,https://bizee.com/,https://bizee.com/,https://startupperks.co/programs/bizee-bizee-basic-0-formation
tailor-brands-0-llc-formation,$0 LLC Formation,Tailor Brands,tailor-brands,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,LLC formation from $0 + state fees,,No funding needed,idea; pre-seed,,,United States,One-time (plus state fees),,high,,https://www.tailorbrands.com/llc-formation,https://www.tailorbrands.com/llc-formation,https://startupperks.co/programs/tailor-brands-0-llc-formation
legalzoom-legalzoom-basic-llc-0,LegalZoom Basic LLC ($0),LegalZoom,legalzoom,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0 basic LLC formation (plus state fees),,No funding needed,idea; pre-seed,,,United States,One-time (plus state fees),,high,,https://www.legalzoom.com/business/business-formation/llc-overview.html,https://www.legalzoom.com/business/business-formation/llc-overview.html,https://startupperks.co/programs/legalzoom-legalzoom-basic-llc-0
swyft-filings-swyft-filings-basic-0-formation,Swyft Filings Basic ($0 Formation),Swyft Filings,swyft-filings,security-legal-hr,"Security, Legal & HR",Free plan,unknown,,,$0 LLC formation (plus state fees),,No funding needed,idea; pre-seed,,,United States,One-time (plus state fees),,high,,https://www.swyftfilings.com/,https://www.swyftfilings.com/,https://startupperks.co/programs/swyft-filings-swyft-filings-basic-0-formation
front-front-for-startups,Front for Startups,Front,front,productivity-saas,Productivity & SaaS,Free plan,unknown,,,6 months free on the Growth plan (up to 15 users),,VC / accelerator-backed,pre-seed; seed,,,,6 months,,high,,https://front.com/blog/introducing-front-for-startups,https://front.com/startups,https://startupperks.co/programs/front-front-for-startups
gorgias-gorgias-startup-program,Gorgias Startup Program,Gorgias,gorgias,productivity-saas,Productivity & SaaS,Discount,unknown,,,Free months plus 15% off the first year,,Any startup,pre-seed; seed,,,,First year,,medium,,https://www.gorgias.com/pricing,https://www.gorgias.com/pricing,https://startupperks.co/programs/gorgias-gorgias-startup-program
growsurf-growsurf-for-startups,GrowSurf for Startups,GrowSurf,growsurf,marketing-sales,Marketing & Sales,Discount,unknown,,,Startup discount plus bonus participants,,Any startup,pre-seed; seed,,,,While eligible,,medium,,https://growsurf.com/growsurf-for-startups,https://growsurf.com/growsurf-for-startups,https://startupperks.co/programs/growsurf-growsurf-for-startups
beefree-beefree-sdk-startup-program,Beefree SDK Startup Program,Beefree,beefree,dev-tools,Developer Tools,Discount,unknown,,,90% off Core or Superpowers plan for 12 months,,Any startup,pre-seed; seed,,,,12 months,,medium,,https://developers.beefree.io/startup-program,https://developers.beefree.io/startup-program,https://startupperks.co/programs/beefree-beefree-sdk-startup-program
ganttpro-ganttpro-startup-program,GanttPRO Startup Program,GanttPRO,ganttpro,productivity-saas,Productivity & SaaS,Credits,unknown,,,"Up to $3,000 in credits",3000,Any startup,pre-seed; seed,,,,One-time,,medium,,https://ganttpro.com/startup-program/,https://ganttpro.com/startup-program/,https://startupperks.co/programs/ganttpro-ganttpro-startup-program
drift-drift-for-startups,Drift for Startups,Drift,drift,marketing-sales,Marketing & Sales,Discount,unknown,,,Startup discount for early-stage companies,,Any startup,seed; series-a,,,,While eligible,,low,,https://www.drift.com/startups/,https://www.drift.com/startups/,https://startupperks.co/programs/drift-drift-for-startups
feedbear-feedbear-early-stage-discount,FeedBear Early-Stage Discount,FeedBear,feedbear,productivity-saas,Productivity & SaaS,Discount,unknown,,,Discount for early-stage startups,,Any startup,idea; pre-seed; seed,,,,While eligible,,low,,https://www.feedbear.com/pricing,https://www.feedbear.com/pricing,https://startupperks.co/programs/feedbear-feedbear-early-stage-discount
magic-labs-magic-for-startups,Magic for Startups,Magic Labs,magic-labs,dev-tools,Developer Tools,Credits,unknown,,,Startup credits and discounted pricing,,Any startup,pre-seed; seed,,,,While eligible,,low,,https://magic.link/startups,https://magic.link/startups,https://startupperks.co/programs/magic-labs-magic-for-startups
remotepass-remotepass-startup-program,RemotePass Startup Program,RemotePass,remotepass,security-legal-hr,"Security, Legal & HR",Discount,unknown,,,1 month free plus 33% off for 9 months,,Any startup,pre-seed; seed,,,,10 months,,medium,,https://www.remotepass.com/startup-program,https://www.remotepass.com/startup-program,https://startupperks.co/programs/remotepass-remotepass-startup-program
msg91-msg91-for-startups,MSG91 for Startups,MSG91,msg91,dev-tools,Developer Tools,Free plan,unknown,,,"Free communication API package for 6 months (SMS, email, WhatsApp, OTP)",,Referral required,pre-seed; seed,,,,6 months,,high,,https://msg91.com/startups,https://msg91.com/startups,https://startupperks.co/programs/msg91-msg91-for-startups
alchemy-alchemy-startup-program,Alchemy Startup Program,Alchemy,alchemy,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Alchemy credits + $5,000 AWS credits + dedicated support",5000,No funding needed,idea; pre-seed; seed; series-a; any,,,,While eligible,,high,,https://www.alchemy.com/startup-program,https://www.alchemy.com/startup-program,https://startupperks.co/programs/alchemy-alchemy-startup-program
cloudzy-cloudzy-business-startup-program,Cloudzy Business (Startup) Program,Cloudzy,cloudzy,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to $8,000 in cloud credits in year one",8000,Any startup,pre-seed; seed; series-a; any,,,,First year (with year-two rebate),,medium,,https://cloudzy.com/business-program/,https://cloudzy.com/business-program/,https://startupperks.co/programs/cloudzy-cloudzy-business-startup-program
0x-0x-jumpstart,0x Jumpstart,0x,0x,dev-tools,Developer Tools,Credits,unknown,,,Free API credits + technical mentorship,,No funding needed,idea; pre-seed; seed; any,,,,While eligible,,medium,,https://0x.org,https://0x.org/jumpstart,https://startupperks.co/programs/0x-0x-jumpstart
databento-databento-free-credits,Databento Free Credits,Databento,databento,databases-data,Databases & Data,Credits,unknown,,,$125 in free market-data credits,125,No funding needed,idea; pre-seed; seed; any,,,,One-time (credits expire 6 months after signup),,high,,https://databento.com/pricing,https://databento.com/signup,https://startupperks.co/programs/databento-databento-free-credits
ionq-ionq-research-credits,IonQ Research Credits,IonQ,ionq,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,"Up to $10,000 in quantum compute credits",10000,No funding needed,idea; pre-seed; seed; any,,,,One-time (per funded project),,medium,,https://ionq.com/programs/research-credits,https://ionq.com/programs/research-credits,https://startupperks.co/programs/ionq-ionq-research-credits
netmind-netmind-elevate-program,NetMind Elevate Program,NetMind,netmind,ai-ml,AI & ML,Credits,unknown,,,"Up to $100,000 in free inference credits",100000,No funding needed,pre-seed; seed; series-a; any,,,,While eligible,,medium,,https://www.netmind.ai,https://www.netmind.ai/elevate-program,https://startupperks.co/programs/netmind-netmind-elevate-program
rime-rime-for-startups-yc-deal,Rime for Startups (YC deal),Rime,rime,ai-ml,AI & ML,Credits,unknown,,,"$5,000 in voice API credits",5000,VC / accelerator-backed,pre-seed; seed,,,,While eligible,,low,,https://www.rime.ai,https://www.rime.ai,https://startupperks.co/programs/rime-rime-for-startups-yc-deal
browse-ai-browse-ai-startup-program,Browse AI Startup Program,Browse AI,browse-ai,productivity-saas,Productivity & SaaS,Discount,unknown,,,20% off annual plans,,Any startup,pre-seed; seed; series-a; any,,,,Annual plan (while eligible),,medium,,https://www.browse.ai,https://www.browse.ai/startup-program,https://startupperks.co/programs/browse-ai-browse-ai-startup-program
memberstack-memberstack-discount-programs,Memberstack Discount Programs,Memberstack,memberstack,dev-tools,Developer Tools,Discount,unknown,,,Startup discount on Memberstack plans,,Any startup,pre-seed; seed; any,,,,While eligible,,medium,,https://www.memberstack.com,https://www.memberstack.com/discount-programs,https://startupperks.co/programs/memberstack-memberstack-discount-programs
scytale-scytale-for-startups,Scytale for Startups,Scytale,scytale,security-legal-hr,"Security, Legal & HR",Discount,unknown,,,20% off compliance automation,,Any startup,seed; series-a; any,,,,While eligible,,medium,,https://scytale.ai/startups/,https://scytale.ai/startups/,https://startupperks.co/programs/scytale-scytale-for-startups
signzy-signzy-for-startups,Signzy for Startups,Signzy,signzy,security-legal-hr,"Security, Legal & HR",Discount,unknown,,,Startup access to 240+ KYC/identity APIs,,Any startup,pre-seed; seed; series-a; any,,,,While eligible,,low,,https://www.signzy.com,https://www.signzy.com/startups,https://startupperks.co/programs/signzy-signzy-for-startups
devrev-devrev-for-startups,DevRev for Startups,DevRev,devrev,marketing-sales,Marketing & Sales,Free plan,unknown,,,"12 months free, then 50% off",,Any startup,pre-seed; seed; series-a; any,,,,"12 months free, then 50% off",,medium,,https://devrev.ai,https://devrev.ai/startups,https://startupperks.co/programs/devrev-devrev-for-startups
adaline-adaline-for-startups,Adaline for Startups,Adaline,adaline,ai-ml,AI & ML,Credits,unknown,,,"$10,000 in platform credits",10000,No funding needed,pre-seed; seed; any,,,,One-time,,low,,https://www.adaline.ai,https://www.adaline.ai,https://startupperks.co/programs/adaline-adaline-for-startups
capture-the-bug-capture-the-bug-startup-program,Capture The Bug Startup Program,Capture The Bug,capture-the-bug,security-legal-hr,"Security, Legal & HR",Credits,unknown,,,"$1,000 in security-testing credits",1000,Any startup,seed; series-a; any,,,,One-time,,low,,https://capturethebug.xyz,https://capturethebug.xyz,https://startupperks.co/programs/capture-the-bug-capture-the-bug-startup-program
meteor-cloud-meteor-cloud-for-startups,Meteor Cloud for Startups,Meteor Cloud,meteor-cloud,cloud-infra,Cloud & Infrastructure,Credits,unknown,,,$600 in hosting credits,600,Any startup,pre-seed; seed; any,,,,One-time,,low,,https://www.meteor.com/cloud,https://www.meteor.com/cloud,https://startupperks.co/programs/meteor-cloud-meteor-cloud-for-startups
gladia-gladia-free-credits,Gladia Free Credits,Gladia,gladia,ai-ml,AI & ML,Credits,unknown,,,50 EUR in free transcription credits,,No funding needed,idea; pre-seed; seed; series-a,,,,One-time,,medium,,https://www.gladia.io/pricing,https://www.gladia.io/start-up-studio,https://startupperks.co/programs/gladia-gladia-free-credits
bland-ai-bland-start-plan,Bland Start Plan,Bland AI,bland-ai,ai-ml,AI & ML,Free plan,unknown,,,Free starter credits + inbound number,,No funding needed,idea; pre-seed; seed,,,,One-time,,low,,https://www.bland.ai/pricing,https://www.bland.ai/,https://startupperks.co/programs/bland-ai-bland-start-plan
twelve-labs-twelve-labs-free-plan,Twelve Labs Free Plan,Twelve Labs,twelve-labs,ai-ml,AI & ML,Free plan,unknown,,,Free video indexing + 10 free hours,,No funding needed,idea; pre-seed; seed; series-a,,,,While eligible,,medium,,https://www.twelvelabs.io/,https://playground.twelvelabs.io/,https://startupperks.co/programs/twelve-labs-twelve-labs-free-plan
ximilar-ximilar-free-plan,Ximilar Free Plan,Ximilar,ximilar,ai-ml,AI & ML,Free plan,unknown,,,"1,000 free API credits per month",,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://www.ximilar.com/pricing/,https://www.ximilar.com/,https://startupperks.co/programs/ximilar-ximilar-free-plan
ultralytics-ultralytics-platform-free-plan,Ultralytics Platform Free Plan,Ultralytics,ultralytics,ai-ml,AI & ML,Free plan,unknown,,,Free plan + $25 one-time credits,25,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://www.ultralytics.com/pricing,https://www.ultralytics.com/,https://startupperks.co/programs/ultralytics-ultralytics-platform-free-plan
landing-ai-landing-ai-explore-plan,Landing AI Explore Plan,Landing AI,landing-ai,ai-ml,AI & ML,Credits,unknown,,,"1,000 free credits (about $10)",10,No funding needed,idea; pre-seed; seed,,,,One-time,,medium,,https://landing.ai/pricing,https://landing.ai/,https://startupperks.co/programs/landing-ai-landing-ai-explore-plan
photoroom-photoroom-api-startup-plan,Photoroom API Startup Plan,Photoroom,photoroom,ai-ml,AI & ML,Free plan,unknown,,,"60,000 free images for startups",,Incorporated,pre-seed; seed; series-a,,,,1 year,,high,,https://www.photoroom.com/api/startup-plan,https://www.photoroom.com/api/startup-plan,https://startupperks.co/programs/photoroom-photoroom-api-startup-plan
stability-ai-stability-ai-community-license,Stability AI Community License,Stability AI,stability-ai,ai-ml,AI & ML,Free plan,unknown,,,Free commercial use under $1M revenue,,No funding needed,idea; pre-seed; seed; series-a,,,,While eligible,,high,,https://stability.ai/license,https://stability.ai/license,https://startupperks.co/programs/stability-ai-stability-ai-community-license
nanonets-nanonets-free-credits,Nanonets Free Credits,Nanonets,nanonets,ai-ml,AI & ML,Credits,unknown,,,$200 in credits per account,200,No funding needed,idea; pre-seed; seed; series-a,,,,One-time,,medium,,https://nanonets.com/pricing,https://app.nanonets.com/,https://startupperks.co/programs/nanonets-nanonets-free-credits
reducto-reducto-free-credits,Reducto Free Credits,Reducto,reducto,ai-ml,AI & ML,Credits,unknown,,,"15,000 free credits (about $225)",225,No funding needed,idea; pre-seed; seed; series-a,,,,One-time,,medium,,https://reducto.ai/pricing,https://reducto.ai/,https://startupperks.co/programs/reducto-reducto-free-credits
mixedbread-mixedbread-for-startups,Mixedbread for Startups,Mixedbread,mixedbread,ai-ml,AI & ML,Credits,unknown,,,$250 in credits for startups,250,VC / accelerator-backed,pre-seed; seed; series-a,,,,One-time,,medium,,https://www.mixedbread.com/pricing,https://www.mixedbread.com/,https://startupperks.co/programs/mixedbread-mixedbread-for-startups
graphlit-graphlit-free-tier,Graphlit Free Tier,Graphlit,graphlit,ai-ml,AI & ML,Free plan,unknown,,,Free tier with usage-based credits,,No funding needed,idea; pre-seed; seed,,,,While eligible,,low,,https://www.graphlit.com/pricing,https://www.graphlit.com/,https://startupperks.co/programs/graphlit-graphlit-free-tier
zep-zep-free-tier,Zep Free Tier,Zep,zep,dev-tools,Developer Tools,Free plan,unknown,,,"10,000 credits per month",,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://www.getzep.com/pricing,https://www.getzep.com/,https://startupperks.co/programs/zep-zep-free-tier
lancedb-lancedb-cloud-free-credits,LanceDB Cloud Free Credits,LanceDB,lancedb,databases-data,Databases & Data,Credits,unknown,,,$100 free credits on LanceDB Cloud,100,No funding needed,idea; pre-seed; seed,,,,One-time,,medium,,https://lancedb.com/,https://lancedb.com/,https://startupperks.co/programs/lancedb-lancedb-cloud-free-credits
exa-exa-free-tier,Exa Free Tier,Exa,exa,ai-ml,AI & ML,Credits,unknown,,,$20 signup + $10/month free credits,20,No funding needed,idea; pre-seed; seed; series-a,,,,$10/month recurring,,medium,,https://exa.ai/pricing,https://dashboard.exa.ai/,https://startupperks.co/programs/exa-exa-free-tier
tavily-tavily-free-plan,Tavily Free Plan,Tavily,tavily,ai-ml,AI & ML,Free plan,unknown,,,"1,000 API credits per month",,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://tavily.com/pricing,https://app.tavily.com/,https://startupperks.co/programs/tavily-tavily-free-plan
linkup-linkup-startup-credits,Linkup Startup Credits,Linkup,linkup,ai-ml,AI & ML,Credits,unknown,,,"$5,000 in credits for startups",5000,Any startup,pre-seed; seed; series-a,,,,One-time,,medium,,https://www.linkup.so/pricing,https://www.linkup.so/pricing,https://startupperks.co/programs/linkup-linkup-startup-credits
serper-serper-free-credits,Serper Free Credits,Serper,serper,dev-tools,Developer Tools,Credits,unknown,,,"2,500 free search queries",,No funding needed,idea; pre-seed; seed,,,,One-time,,medium,,https://serper.dev/,https://serper.dev/,https://startupperks.co/programs/serper-serper-free-credits
firecrawl-firecrawl-free-plan,Firecrawl Free Plan,Firecrawl,firecrawl,dev-tools,Developer Tools,Free plan,unknown,,,"1,000 credits per month",,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://www.firecrawl.dev/pricing,https://www.firecrawl.dev/,https://startupperks.co/programs/firecrawl-firecrawl-free-plan
scrapegraphai-scrapegraphai-free-plan,ScrapeGraphAI Free Plan,ScrapeGraphAI,scrapegraphai,dev-tools,Developer Tools,Credits,unknown,,,500 free API credits,,No funding needed,idea; pre-seed; seed,,,,One-time,,medium,,https://scrapegraphai.com/pricing,https://scrapegraphai.com/,https://startupperks.co/programs/scrapegraphai-scrapegraphai-free-plan
diffbot-diffbot-free-tier,Diffbot Free Tier,Diffbot,diffbot,ai-ml,AI & ML,Free plan,unknown,,,"10,000 free credits per month",,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://www.diffbot.com/pricing/,https://www.diffbot.com/,https://startupperks.co/programs/diffbot-diffbot-free-tier
portkey-portkey-developer-free-forever,Portkey Developer (Free Forever),Portkey,portkey,dev-tools,Developer Tools,Free plan,unknown,,,"10,000 logs per month, free forever",,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://portkey.ai/pricing,https://portkey.ai/,https://startupperks.co/programs/portkey-portkey-developer-free-forever
unify-unify-starter-credits,Unify Starter Credits,Unify,unify,dev-tools,Developer Tools,Credits,unknown,,,Free starter credits on signup,,No funding needed,idea; pre-seed; seed,,,,One-time (first week),,low,,https://unify.ai/pricing,https://unify.ai/,https://startupperks.co/programs/unify-unify-starter-credits
honeyhive-honeyhive-developer-plan-startup-discount,HoneyHive Developer Plan + Startup Discount,HoneyHive,honeyhive,ai-ml,AI & ML,Free plan,unknown,,,10K events/month free + startup discount,,No funding needed,idea; pre-seed; seed; series-a,,,,While eligible,,medium,,https://www.honeyhive.ai/pricing,https://www.honeyhive.ai/,https://startupperks.co/programs/honeyhive-honeyhive-developer-plan-startup-discount
agenta-agenta-hobby-free-startup-access,Agenta Hobby (Free) + Startup Access,Agenta,agenta,ai-ml,AI & ML,Free plan,unknown,,,"5,000 agent runs/month + startup discount",,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://agenta.ai/pricing,https://agenta.ai/,https://startupperks.co/programs/agenta-agenta-hobby-free-startup-access
laminar-laminar-free-tier,Laminar Free Tier,Laminar,laminar,dev-tools,Developer Tools,Free plan,unknown,,,Free tier + $5 Signals credits,,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://laminar.sh/pricing,https://laminar.sh/,https://startupperks.co/programs/laminar-laminar-free-tier
dosu-dosu-free-plan,Dosu Free Plan,Dosu,dosu,dev-tools,Developer Tools,Free plan,unknown,,,200 credits per month free,,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://dosu.dev/pricing,https://dosu.dev/,https://startupperks.co/programs/dosu-dosu-free-plan
nightcafe-nightcafe-free-tier,NightCafe Free tier,NightCafe,nightcafe,productivity-saas,Productivity & SaaS,Free plan,unknown,,,Free daily credits,,No funding needed,any,,,,Free daily credits,,high,,https://creator.nightcafe.studio/,https://creator.nightcafe.studio/,https://startupperks.co/programs/nightcafe-nightcafe-free-tier
let-s-enhance-let-s-enhance-free-credits,Let's Enhance Free credits,Let's Enhance,let-s-enhance,marketing-sales,Marketing & Sales,Free plan,unknown,,,Free starter credits,,No funding needed,any,,,,Free credits to start,,low,,https://letsenhance.io/pricing,https://letsenhance.io/,https://startupperks.co/programs/let-s-enhance-let-s-enhance-free-credits
crowdin-crowdin-nonprofit-education-startup-discounts,"Crowdin nonprofit, education & startup discounts",Crowdin,crowdin,dev-tools,Developer Tools,Discount,unknown,,,"Startup, nonprofit & education discounts + free OSS plan",,No funding needed,any,,,,While eligible,,medium,,https://crowdin.com/pricing,https://crowdin.com/,https://startupperks.co/programs/crowdin-crowdin-nonprofit-education-startup-discounts
trevor-io-trevor-io-free-plan,Trevor.io Free plan,Trevor.io,trevor-io,databases-data,Databases & Data,Free plan,unknown,,,"Free plan (3,000 credits/mo)",,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,,high,,https://trevor.io/pricing,https://trevor.io/pricing,https://startupperks.co/programs/trevor-io-trevor-io-free-plan
fullsession-fullsession-free-forever-plan,FullSession Free Forever plan,FullSession,fullsession,marketing-sales,Marketing & Sales,Free plan,unknown,,,"Free Forever plan (1,000 sessions/mo)",,No funding needed,idea; pre-seed; seed,,,,Ongoing free tier,,high,,https://fullsession.io/pricing/,https://fullsession.io/pricing/,https://startupperks.co/programs/fullsession-fullsession-free-forever-plan
postscript-postscript-free-platform-plan,Postscript Free platform plan,Postscript,postscript,marketing-sales,Marketing & Sales,Free plan,unknown,,,$0/mo platform fee to start,,No funding needed,idea; pre-seed; seed,,,United States; Canada,While eligible,,high,,https://postscript.io/,https://postscript.io/pricing,https://startupperks.co/programs/postscript-postscript-free-platform-plan
extend-extend-merchant-program-revenue-share,Extend merchant program (revenue share),Extend,extend,productivity-saas,Productivity & SaaS,Cash & rewards,unknown,,,"Free to add, earn on every plan sold",,No funding needed,any,,,United States,While eligible,,medium,,https://www.extend.com/,https://www.extend.com/merchants,https://startupperks.co/programs/extend-extend-merchant-program-revenue-share
mulberry-mulberry-merchant-program-revenue-share,Mulberry merchant program (revenue share),Mulberry,mulberry,productivity-saas,Productivity & SaaS,Cash & rewards,unknown,,,"Free to add, earn commission on plans",,No funding needed,any,,,United States,While eligible,,high,,https://www.getmulberry.com/,https://www.getmulberry.com/,https://startupperks.co/programs/mulberry-mulberry-merchant-program-revenue-share
clyde-clyde-merchant-program-revenue-share,Clyde merchant program (revenue share),Clyde,clyde,productivity-saas,Productivity & SaaS,Cash & rewards,unknown,,,"Free to add, earn revenue share",,No funding needed,any,,,United States,While eligible,,medium,,https://joinclyde.com/,https://joinclyde.com/,https://startupperks.co/programs/clyde-clyde-merchant-program-revenue-share
e-boekhouden-nl-15-months-free-for-starters,15 months free for starters,e-Boekhouden.nl,e-boekhouden-nl,finance-ops,Finance & Ops,Free plan,unknown,,,15 months free for new businesses,,No funding needed,idea; pre-seed; seed,,,Netherlands,15 months,,high,,https://www.e-boekhouden.nl/,https://www.e-boekhouden.nl/,https://startupperks.co/programs/e-boekhouden-nl-15-months-free-for-starters
quickfile-quickfile-free-for-small-accounts,QuickFile (free for small accounts),QuickFile,quickfile,finance-ops,Finance & Ops,Free plan,unknown,,,"Free while under 1,000 ledger entries/year",,No funding needed,idea; pre-seed; seed,,,United Kingdom,"While under 1,000 ledger entries/year",,high,,https://www.quickfile.co.uk/,https://www.quickfile.co.uk/,https://startupperks.co/programs/quickfile-quickfile-free-for-small-accounts
nav-nav-free-plan,Nav Free plan,Nav,nav,finance-ops,Finance & Ops,Free plan,unknown,,,Free business credit and cash-flow monitoring,,No funding needed,idea; pre-seed; seed; series-a; any,,,United States,While eligible,,high,,https://www.nav.com/,https://www.nav.com/,https://startupperks.co/programs/nav-nav-free-plan
saasgrid-saasgrid-starter-free-plan,SaaSGrid Starter (free plan),SaaSGrid,saasgrid,finance-ops,Finance & Ops,Free plan,unknown,,,Free plan for companies under $1M ARR,,No funding needed,pre-seed; seed; series-a,,,,While under $1M ARR,,high,,https://www.withgrid.com/pricing,https://www.withgrid.com/pricing,https://startupperks.co/programs/saasgrid-saasgrid-starter-free-plan
hyperline-hyperline-free-to-start,Hyperline (free to start),Hyperline,hyperline,finance-ops,Finance & Ops,Free plan,unknown,,,"Free to start, first 10 invoices",,No funding needed,pre-seed; seed; series-a,,,,Free up to 10 invoices,,medium,,https://www.hyperline.co/pricing,https://www.hyperline.co/pricing,https://startupperks.co/programs/hyperline-hyperline-free-to-start
fireblocks-fireblocks-for-startups,Fireblocks for Startups,Fireblocks,fireblocks,banking-fintech,Banking & Fintech,Free plan,unknown,,,Self-service platform access + free developer sandbox,,No funding needed,pre-seed; seed; series-a,,,,While eligible,,medium,,https://www.fireblocks.com/startups,https://www.fireblocks.com/startups,https://startupperks.co/programs/fireblocks-fireblocks-for-startups
circle-circle-credits-program,Circle Credits Program,Circle,circle,banking-fintech,Banking & Fintech,Credits,unknown,,,"Credits toward Circle Web3 Services (wallets, gas)",,No funding needed,idea; pre-seed; seed; series-a,,,,While eligible,,medium,,https://www.circle.com/blog/circle-announces-credits-program,https://www.circle.com/,https://startupperks.co/programs/circle-circle-credits-program
blockpi-blockpi-web3-startup-program,BlockPI Web3 Startup Program,BlockPI,blockpi,dev-tools,Developer Tools,Credits,unknown,,,"Up to $1,000 in API credits",1000,No funding needed,pre-seed; seed,,,,One-time,,medium,,https://blockpi.io/,https://blockpi.io/,https://startupperks.co/programs/blockpi-blockpi-web3-startup-program
dynamic-dynamic-free-plan,Dynamic Free plan,Dynamic,dynamic,dev-tools,Developer Tools,Free plan,unknown,,,"Free up to 1,000 monthly active users",,No funding needed,idea; pre-seed; seed,,,,While eligible,,high,,https://www.dynamic.xyz/pricing,https://app.dynamic.xyz/,https://startupperks.co/programs/dynamic-dynamic-free-plan
market-data-market-data-free-forever,Market Data Free Forever,Market Data,market-data,banking-fintech,Banking & Fintech,Free plan,unknown,,,Free Forever tier (100 requests/day),,No funding needed,idea; pre-seed; seed,,,,While eligible,,medium,,https://www.marketdata.app/,https://www.marketdata.app/,https://startupperks.co/programs/market-data-market-data-free-forever
churnkey-churnkey-free-forever,Churnkey Free forever,Churnkey,churnkey,finance-ops,Finance & Ops,Free plan,unknown,,,Free forever plan,,No funding needed,pre-seed; seed,,,,While eligible,,medium,,https://churnkey.co/,https://churnkey.co/,https://startupperks.co/programs/churnkey-churnkey-free-forever
